date,fuel,mwh
4/4/2007,Coal,263913.25
4/4/2007,Gas,337488.00
4/4/2007,Hydro,4084.32
4/4/2007,Nuclear,60314.64
4/4/2007,Oth,13993.03
4/4/2007,Wnd,26912.47
4/5/2007,Coal,271540.49
4/5/2007,Gas,314078.68
4/5/2007,Hydro,3955.17
4/5/2007,Nuclear,60404.40
4/5/2007,Oth,12548.52
4/5/2007,Wnd,12553.67
4/6/2007,Coal,269859.19
4/6/2007,Gas,282699.03
4/6/2007,Hydro,4209.98
4/6/2007,Nuclear,60348.44
4/6/2007,Oth,7662.68
4/6/2007,Wnd,30221.96
4/7/2007,Coal,296922.89
4/7/2007,Gas,353939.67
4/7/2007,Hydro,3864.84
4/7/2007,Nuclear,60287.02
4/7/2007,Oth,8338.58
4/7/2007,Wnd,12419.72
4/8/2007,Coal,294114.79
4/8/2007,Gas,340808.30
4/8/2007,Hydro,4005.74
4/8/2007,Nuclear,60430.04
4/8/2007,Oth,9268.89
4/8/2007,Wnd,5774.82
4/9/2007,Coal,262534.21
4/9/2007,Gas,368610.43
4/9/2007,Hydro,4206.68
4/9/2007,Nuclear,60432.41
4/9/2007,Oth,9351.13
4/9/2007,Wnd,16108.64
4/10/2007,Coal,268073.25
4/10/2007,Gas,329961.31
4/10/2007,Hydro,4165.08
4/10/2007,Nuclear,60406.44
4/10/2007,Oth,9377.10
4/10/2007,Wnd,37802.64
4/11/2007,Coal,266160.46
4/11/2007,Gas,350458.46
4/11/2007,Hydro,3998.35
4/11/2007,Nuclear,60434.29
4/11/2007,Oth,12177.06
4/11/2007,Wnd,15414.47
4/12/2007,Coal,247462.16
4/12/2007,Gas,333486.05
4/12/2007,Hydro,3970.04
4/12/2007,Nuclear,60301.39
4/12/2007,Oth,9020.43
4/12/2007,Wnd,44189.36
4/13/2007,Coal,256912.53
4/13/2007,Gas,341840.80
4/13/2007,Hydro,3950.15
4/13/2007,Nuclear,60154.11
4/13/2007,Oth,12609.52
4/13/2007,Wnd,44081.48
4/14/2007,Coal,274984.45
4/14/2007,Gas,273481.19
4/14/2007,Hydro,2466.52
4/14/2007,Nuclear,60200.24
4/14/2007,Oth,6253.29
4/14/2007,Wnd,29419.47
4/15/2007,Coal,273580.79
4/15/2007,Gas,266538.61
4/15/2007,Hydro,2370.74
4/15/2007,Nuclear,60278.54
4/15/2007,Oth,6061.92
4/15/2007,Wnd,23864.01
